Source,Target,Type,Label
Exterior,Materials,Directed,INCLUDES
Exterior,Structure,Directed,INCLUDES
Exterior,Massing,Directed,INCLUDES
Materials,Brickwork,Directed,INCLUDES
Materials,Ornamentation,Directed,INCLUDES
Structure,Roof,Directed,INCLUDES
Structure,Walls,Directed,INCLUDES
Structure,Interior,Directed,CONSTRAINS
Structure,Massing,Directed,DEFINES
Ornamentation,Brickwork,Directed,DECORATES
Roof,Materials,Directed,FINISHED_WITH
Roof,Massing,Directed,CONTRIBUTES_TO
Walls,Openings,Directed,CONTAINS
Walls,Brickwork,Directed,CONSTRUCTED_WITH
Openings,Doors,Directed,INCLUDES
Openings,Windows,Directed,INCLUDES
Openings,Exterior,Directed,CONNECTS
Doors,Primary,Directed,PROVIDE_ACCESS_TO
Doors,Secondary,Directed,PROVIDE_ACCESS_TO
Windows,Primary,Directed,PROVIDE_LIGHT_TO
Windows,Secondary,Directed,PROVIDE_LIGHT_TO
Interior,RoomType,Directed,INCLUDES
Interior,SpatialOrganisation,Directed,INCLUDES
Interior,Circulation,Directed,INCLUDES
Interior,Openings,Directed,USES
RoomType,Primary,Directed,INCLUDES
RoomType,Secondary,Directed,INCLUDES
SpatialOrganisation,Circulation,Directed,DETERMINES
Primary,Classrooms,Directed,INCLUDES
Primary,Halls,Directed,INCLUDES
Primary,Openings,Directed,REQUIRES
Secondary,WelfareSpaces,Directed,INCLUDES
Secondary,StorageRooms,Directed,INCLUDES
Secondary,Primary,Directed,SUPPORTS
Classrooms,Halls,Directed,ADJACENT_TO
WelfareSpaces,StorageRooms,Directed,ADJACENT_TO
