Source,Target,Type,Label
Roof,pitch,Directed,HAS_FEATURE
Roof,type,Directed,HAS_FEATURE
Massing,symmetry,Directed,HAS_FEATURE
Massing,height,Directed,HAS_FEATURE
Openings,window_shape,Directed,HAS_FEATURE
Openings,door_position,Directed,HAS_FEATURE
Ornamentation,decorative_elements,Directed,HAS_FEATURE
Ornamentation,trim_type,Directed,HAS_FEATURE
Materials,primary_material,Directed,HAS_FEATURE
Materials,finish,Directed,HAS_FEATURE
Walls,colour,Directed,HAS_FEATURE
Roof,Massing,Directed,CONTRIBUTES
Massing,Roof,Directed,INFLUENCES
Walls,Roof,Directed,SUPPORTS
Walls,Openings,Directed,CONTAINS
Openings,Walls,Directed,ARE_PLACED_IN
Massing,Openings,Directed,ORGANISES
Walls,Materials,Directed,USES
Roof,Materials,Directed,USES
Ornamentation,Walls,Directed,APPLIES_TO
Exterior,Openings,Directed,INCLUDES
Openings,Exterior,Directed,CONTRIBUTES_TO
Exterior,Materials,Directed,INCLUDES
Exterior,Ornamentation,Directed,MAY_INCLUDE
Exterior,Massing,Directed,INCLUDES
Massing,Exterior,Directed,DEFINES
Exterior,Walls,Directed,INCLUDES
